asn,cone_asns,cone_prefixes,cone_addresses
2905,1,87,3779328
31500,381,3170,3778304
668,23,276,3740672
12271,50,307,3734784
37069,1,28,3708672
38895,2,313,3675648
768,20,277,3674624
37353,5,91,3652864
9143,2,178,3639296
64049,5,162,3634688
55836,4,150,3633920
6983,37,1836,3605504
12552,269,1419,3604992
6739,115,1272,3577856
25019,20,4344,3559424
11280,13,292,3550464
10302,9,306,3550208
29076,1013,3521,3547904
2609,6,99,3547136
2116,84,390,3541248
33771,39,289,3537664
10201,22,420,3535104
24835,23,898,3517952
600,60,384,3465216
10481,43,955,3462656
24218,137,1530,3454464
9299,142,1889,3429888
2527,4,70,3416064
16625,1,1763,3411968
17511,16,153,3387904
8732,476,1730,3372288
48237,58,701,3371008
14962,1,26,3360512
19108,76,816,3323904
385,1,363,3310592
2510,4,58,3298304
9050,341,1924,3291648
35819,48,715,3260928
37662,236,1648,3201280
134809,74,812,3196160
38082,179,2028,3160576
9457,46,1044,3144960
35916,7,168,3141888
11404,298,1551,3131904
30844,175,1236,3107840
13237,313,1101,3085568
4152,1,14,3080448
4725,59,395,3078144
5483,357,2167,3046656
2852,42,116,3045888
6730,169,575,3035904
51964,15,514,3027712
10010,49,424,2979584
9105,1,33,2974976
21219,709,3218,2955264
3754,33,174,2953728
56041,2,753,2940160
5769,50,1070,2932224
293,33,204,2927872
7418,3,139,2924544
553,13,186,2873088
137,16,117,2856704
16276,2,95,2856448
36994,69,754,2834688
10099,63,641,2821888
9269,93,1321,2820096
4648,173,1303,2794752
52320,442,2666,2771712
13536,106,643,2762240
37168,1,25,2752512
297,16,155,2716672
7497,18,717,2711808
12715,117,2839,2711552
17621,41,1075,2700032
1761,1,20,2690048
8708,333,787,2676480
6509,33,366,2659072
3326,557,3217,2615552
1916,61,577,2613248
37271,139,782,2611456
101,39,222,2609152
33660,81,210,2607360
27065,27,1175,2592256
56046,3,737,2586368
17964,1,338,2582016
18101,366,3819,2558976
16086,60,341,2553600
24400,5,180,2521600
13999,23,964,2521344
3758,159,988,2508544
210,7,77,2495232
5384,35,2390,2494208
6619,4,118,2490880
7470,100,1247,2478592
559,5,119,2447872
6848,43,269,2438400
29791,246,1482,2437376
20225,94,596,2430976
4739,44,1361,2429952
2514,15,283,2403840
24560,2,1337,2403328
3816,12,1576,2364160
855,44,1036,2363648
10886,48,317,2361600
36944,17,536,2338304
6057,14,639,2329856
9605,1,789,2327296
9158,5,37,2322176
8402,37,1316,2280704
9116,89,1014,2280448
7132,1,46,2260224
6421,62,1228,2257920
6799,34,214,2257152
16591,3,14,2246144
3479,13,48,2245376
10013,3,384,2241792
4589,18,147,2236672
6922,29,142,2223104
10620,1,3615,2213120
15924,112,1373,2208768
9957,49,1636,2203136
6503,50,1972,2200064
27066,28,747,2180864
1853,43,114,2179840
24608,1,53,2171136
34400,1,26,2170880
2687,68,362,2168320
55410,383,3850,2150656
23563,23,1294,2142464
36935,1,183,2125824
10318,1,628,2122752
766,22,120,2120704
4816,3,283,2120192
13127,18,140,2113280
18734,63,1219,2092288
2860,33,236,2085632
19782,15,140,2067456
6079,105,362,2057984
29975,1,146,2050560
14041,32,140,2049280
24444,1,1040,2028032
57,30,127,2014976
19151,229,1172,2011648
5391,119,635,2009088
31334,2,226,2003968
9674,1,42,1982464
59605,33,868,1979904
9381,94,1347,1976320
20676,59,259,1976064
56040,3,1115,1975296
35320,416,2245,1966080
8455,214,1206,1953792
37693,2,420,1949952
18403,133,2325,1947904
45629,108,886,1944064
1680,138,452,1929728
26677,60,251,1923584
8551,142,4278,1921280
8228,1,41,1917440
38040,44,2576,1916928
12200,8,255,1909248
1213,5,25,1908736
1101,3,17,1905152
13768,102,887,1902336
134772,2,416,1898496
36925,4,101,1892864
12714,135,557,1866496
38091,17,2075,1863680
3267,300,1473,1850880
38861,40,1721,1846784
197207,1,156,1837056
2607,133,408,1826304
5438,4,85,1819392
9316,1,17,1810432
27831,1,46,1806336
4760,5,468,1805568
4565,2,200,1798912
60299,71,1445,1794304
16657,159,756,1794304
25478,376,1281,1793280
24445,3,90,1792768
3243,9,21,1788672
4811,9,670,1787392
9812,1,165,1785856
2018,7,423,1784064
17638,7,1255,1782016
16232,1,20,1777664
9198,63,1416,1765888
43727,214,1702,1761280
19037,99,1717,1751040
6871,1,73,1745408
8400,167,1203,1722368
6849,46,1469,1722368
270,11,135,1718272
8529,82,1797,1712384
10695,1,45,1704960
2711,66,1462,1703424
17421,1,135,1700864
27978,48,437,1697280
5610,47,148,1697280
8968,49,223,1688832
21502,4,267,1684736
18779,14,526,1678592
11830,26,2874,1666560
18566,6,2201,1666048
9929,7,332,1665280
62,81,628,1665280
16905,26,171,1664256
12083,64,1041,1660928
11317,9,117,1659136
3246,86,491,1656064
9500,65,410,1654784
8612,14,115,1652992
9595,1,48,1644544
10474,12,104,1624576
703,119,720,1619968
13030,229,752,1618176
17645,41,881,1615360
43754,131,1523,1599744
22085,1,246,1593344
9145,62,272,1584896
17552,1,191,1578240
3378,10,208,1572608
8764,83,983,1570304
2529,6,108,1569536
17709,22,598,1565440
17623,15,940,1564672
5578,93,328,1561600
12638,1,12,1557504
376,20,368,1553920
35168,133,1920,1551616
37457,3,1685,1549312
6147,5,1036,1548544
24940,46,281,1547264
37492,1,452,1541376
36903,1,757,1531904
17813,2,150,1524480
6325,35,230,1521152
9009,304,2068,1518848
52280,89,1432,1515264
3255,435,1539,1510144
18676,1,97,1507328
60388,70,669,1502720
37903,1,70,1491968
24724,319,837,1486080
39392,175,464,1483776
13249,320,1125,1476864
3908,33,510,1476096
50607,532,1477,1474560
9416,12,238,1470464
7046,8,461,1468672
15706,5,97,1468160
8781,25,761,1465344
31463,158,566,1463808
59469,48,206,1459200
24158,1,151,1458432
20804,295,925,1447424
7992,72,370,1446656
9443,20,1368,1444864
8374,31,70,1440256
3371,7,29,1436672
30036,24,2013,1432576
58466,9,1182,1431552
13335,7,634,1427712
36884,7,51,1421056
4515,63,983,1406720
11096,48,202,1402368
13094,228,1043,1389056
32787,290,1860,1382912
22047,1,406,1378816
196844,176,667,1374464
133612,1,223,1368064
10103,98,1184,1362688
30023,15,82,1361152
11664,98,1626,1358592
14061,2,741,1349632
7160,1,142,1342720
18302,27,199,1341952
27986,154,2177,1326592
158,1,89,1325824
16135,1,169,1323776
4835,4,98,1321984
20959,1,65,1310720
14877,32,177,1310464
7821,18,109,1307392
31549,13,303,1306880
18126,1,43,1303552
12578,186,614,1300224
22356,444,1944,1297408
5619,1,15,1295360
23969,1,1548,1286144
1237,33,441,1279488
36352,13,1740,1277696
40160,19,255,1273344
44244,1,309,1269248
38193,120,3094,1267456
9583,113,2970,1266432
3630,13,63,1265408
29695,24,136,1265152
5715,17,198,1263360
8560,53,292,1260032
5006,15,109,1256704
5430,5,33,1254656
2572,9,87,1252096
45758,24,678,1250560
38809,82,517,1250048
4181,60,284,1239808
226,23,220,1236480
15802,60,350,1232640
31615,1,9,1228800
29386,2,254,1228800
29256,1,320,1228800
27750,47,393,1225728
197556,51,1442,1224192
12353,15,69,1220864
1226,4,53,1216256
276,18,72,1215232
31042,120,431,1207040
22335,19,150,1204480
43515,2,14,1201408
8997,11,50,1195520
3265,7,36,1192192
5466,22,74,1190144
31027,112,403,1189632
7641,1,9,1187840
6614,2,159,1186560
224,5,20,1184256
3223,245,2303,1181952
3128,6,33,1181696
19527,1,11,1179648
4010,1,41,1178624
22284,5,313,1168128
199524,52,582,1166080
109,1,77,1165568
378,2,29,1165056
9617,1,85,1163264
10774,8,921,1160192
9737,1,249,1158912
33788,7,117,1155328
5603,150,579,1151488
53037,2,94,1151232
45090,1,2192,1151232
8103,8,941,1148672
12312,9,43,1145600
7155,2,808,1142528
6866,48,371,1140992
