asn,cone_asns,cone_prefixes,cone_addresses
21000,1,15,4608
20946,2,4,4608
20525,2,18,4608
20326,1,4,4608
20128,1,3,4608
19197,1,18,4608
18795,1,3,4608
18730,1,9,4608
18531,1,6,4608
18341,1,2,4608
17564,1,6,4608
17093,1,7,4608
16858,1,5,4608
16816,2,3,4608
16758,1,18,4608
16714,1,2,4608
16654,2,18,4608
16605,1,4,4608
16409,1,5,4608
15721,2,9,4608
15568,1,3,4608
15442,1,8,4608
15436,1,11,4608
15390,1,8,4608
15359,1,18,4608
15313,1,3,4608
14851,1,11,4608
14775,1,4,4608
14586,1,18,4608
14536,1,3,4608
14358,1,7,4608
14283,1,18,4608
13989,1,3,4608
13959,2,18,4608
13954,1,10,4608
13831,1,3,4608
13823,1,9,4608
13788,1,15,4608
13635,2,8,4608
13456,1,5,4608
13259,3,12,4608
13165,2,3,4608
13155,2,17,4608
12601,1,11,4608
12428,1,4,4608
11228,1,11,4608
11135,1,11,4608
10697,1,17,4608
10469,1,11,4608
10137,1,18,4608
9959,1,18,4608
9684,1,17,4608
9533,1,19,4608
9532,1,18,4608
8883,1,14,4608
8388,1,12,4608
8328,1,7,4608
8232,1,5,4608
8226,4,20,4608
7551,1,22,4608
7469,2,3,4608
6541,1,2,4608
5788,1,3,4608
5744,1,7,4608
4468,1,18,4608
3397,1,7,4608
3347,1,3,4608
2912,1,20,4608
2631,1,18,4608
2567,1,18,4608
2161,1,3,4608
1904,1,14,4608
1789,2,18,4608
1746,1,14,4608
1651,1,8,4608
1140,2,8,4608
187,1,17,4608
396435,1,5,4352
395368,2,2,4352
394962,1,2,4352
393441,1,4,4352
393227,1,16,4352
328050,1,17,4352
327942,1,18,4352
266602,3,5,4352
265022,5,15,4352
264719,1,5,4352
264485,2,15,4352
262798,2,18,4352
262665,1,16,4352
262497,2,17,4352
262363,2,8,4352
262333,2,13,4352
262216,1,7,4352
262168,1,4,4352
207251,1,7,4352
206776,7,17,4352
205185,4,13,4352
204834,1,9,4352
203863,1,5,4352
203380,1,17,4352
203068,3,12,4352
202111,1,2,4352
201962,4,5,4352
200161,7,14,4352
199366,1,17,4352
199195,3,18,4352
198766,1,2,4352
198287,1,5,4352
197731,3,4,4352
197706,1,4,4352
197385,1,6,4352
196740,1,18,4352
134884,1,8,4352
134739,3,10,4352
133658,3,17,4352
133513,2,2,4352
132252,1,7,4352
132095,1,2,4352
131388,1,21,4352
131325,1,13,4352
64262,2,5,4352
63747,2,17,4352
62814,2,13,4352
62262,1,11,4352
61975,1,15,4352
61029,1,4,4352
60782,1,5,4352
60690,1,5,4352
60664,1,12,4352
60592,1,15,4352
60517,2,5,4352
60269,1,9,4352
60137,4,13,4352
60016,1,5,4352
59752,1,4,4352
59749,1,17,4352
59179,1,17,4352
58972,2,11,4352
58404,3,17,4352
58282,1,11,4352
57903,1,2,4352
57889,1,2,4352
57507,1,2,4352
57315,1,11,4352
56972,2,10,4352
56538,1,4,4352
56350,2,2,4352
56186,2,4,4352
55912,1,4,4352
55492,3,21,4352
55334,1,14,4352
54911,1,2,4352
54829,2,5,4352
54393,1,11,4352
54118,1,2,4352
54053,1,17,4352
53974,1,17,4352
53140,2,6,4352
53113,1,7,4352
52703,1,2,4352
52686,2,13,4352
52481,1,20,4352
51840,1,21,4352
51547,2,17,4352
51405,3,7,4352
51356,1,6,4352
51118,2,2,4352
51093,1,3,4352
50466,2,6,4352
50155,1,17,4352
49961,1,17,4352
49823,1,8,4352
49810,2,5,4352
49435,1,3,4352
49386,5,4,4352
48956,3,6,4352
48921,6,14,4352
48857,1,2,4352
48533,3,13,4352
48519,2,8,4352
48056,4,6,4352
48000,2,17,4352
47862,2,14,4352
47841,1,3,4352
47748,2,17,4352
47292,1,7,4352
47252,1,8,4352
47149,1,2,4352
47066,1,18,4352
46778,1,3,4352
46698,1,13,4352
46616,1,5,4352
46294,1,16,4352
46069,1,2,4352
46031,2,17,4352
45680,2,7,4352
45144,3,19,4352
45028,1,13,4352
45010,2,2,4352
44927,1,9,4352
44763,1,3,4352
44428,1,2,4352
44008,1,2,4352
43858,1,4,4352
43687,2,2,4352
43555,2,10,4352
43519,1,17,4352
43281,3,13,4352
42416,1,18,4352
42086,1,2,4352
42084,2,3,4352
41453,2,2,4352
41363,2,4,4352
41305,1,2,4352
41242,1,2,4352
41135,1,14,4352
40910,1,3,4352
40495,1,4,4352
40459,1,9,4352
40283,1,2,4352
40230,1,18,4352
39835,2,2,4352
39707,1,17,4352
39684,1,5,4352
39616,1,2,4352
39552,1,2,4352
39432,1,17,4352
39271,2,5,4352
39270,1,11,4352
38697,1,16,4352
38321,1,8,4352
37930,5,12,4352
37697,2,16,4352
37254,3,13,4352
37031,2,16,4352
37018,1,16,4352
36504,1,10,4352
36305,1,2,4352
36221,1,3,4352
36218,1,7,4352
36205,1,3,4352
35862,1,6,4352
35383,1,5,4352
35329,1,2,4352
35292,1,3,4352
35242,1,8,4352
35175,1,4,4352
35170,1,5,4352
35115,1,5,4352
34948,1,2,4352
34764,3,8,4352
34686,1,2,4352
34312,2,6,4352
34042,2,2,4352
33838,1,4,4352
33785,1,14,4352
33570,1,2,4352
33549,1,6,4352
33178,1,3,4352
33019,1,2,4352
32922,1,12,4352
32626,2,2,4352
32216,1,7,4352
31758,1,2,4352
31720,3,11,4352
31689,1,20,4352
31624,1,3,4352
31593,1,4,4352
31321,2,5,4352
31294,5,6,4352
31124,1,2,4352
31065,1,17,4352
30993,1,17,4352
30953,1,2,4352
30709,2,2,4352
30678,1,10,4352
30354,1,14,4352
30286,1,7,4352
29888,1,10,4352
29772,1,3,4352
29605,2,4,4352
29354,1,2,4352
29028,1,5,4352
28609,1,18,4352
28357,1,2,4352
27269,1,9,4352
27192,1,4,4352
27069,1,14,4352
26981,1,17,4352
26729,1,12,4352
26542,1,14,4352
26449,1,2,4352
26405,1,10,4352
26404,1,2,4352
26312,1,8,4352
26144,1,15,4352
26052,1,3,4352
26040,1,17,4352
25955,1,17,4352
25856,1,7,4352
25845,1,3,4352
25538,1,2,4352
25508,1,2,4352
25486,2,8,4352
25420,1,2,4352
25409,2,5,4352
24685,1,16,4352
24599,3,3,4352
24556,1,19,4352
24406,1,17,4352
24245,5,9,4352
23762,1,17,4352
23190,1,5,4352
23081,1,2,4352
23038,1,4,4352
22894,6,14,4352
22654,1,2,4352
22607,1,2,4352
22473,1,17,4352
22135,1,16,4352
22113,1,5,4352
21906,1,2,4352
21833,1,4,4352
21767,1,2,4352
21668,1,6,4352
21549,1,12,4352
21416,1,17,4352
21282,2,5,4352
21228,1,4,4352
21226,3,6,4352
21159,2,6,4352
21132,3,2,4352
21104,2,15,4352
20953,1,2,4352
20939,1,4,4352
20888,1,2,4352
20867,1,3,4352
20866,3,8,4352
20842,1,14,4352
20523,1,2,4352
20475,1,2,4352
19582,2,17,4352
19473,1,2,4352
19368,3,5,4352
19355,1,2,4352
19222,1,7,4352
19077,1,17,4352
18773,1,2,4352
18749,1,3,4352
18719,1,3,4352
18443,1,4,4352
18404,1,18,4352
18114,2,16,4352
18107,1,2,4352
18029,1,6,4352
17856,1,8,4352
16732,2,13,4352
16664,1,2,4352
16608,1,14,4352
16277,1,2,4352
16188,1,2,4352
16079,1,2,4352
15613,1,2,4352
15297,1,10,4352
15124,1,6,4352
14834,1,2,4352
14821,2,22,4352
14773,2,6,4352
14716,1,2,4352
14630,1,17,4352
14442,2,6,4352
14369,1,2,4352
14089,1,2,4352
13917,1,3,4352
13726,1,2,4352
13628,1,13,4352
13136,1,2,4352
12910,1,2,4352
12743,1,2,4352
12539,1,8,4352
11969,1,4,4352
11604,1,8,4352
11535,1,17,4352
11109,1,17,4352
10298,1,16,4352
10264,1,17,4352
10162,1,2,4352
8524,1,17,4352
8302,1,9,4352
8242,2,12,4352
8200,1,8,4352
6984,1,15,4352
6931,1,2,4352
6643,1,17,4352
6473,1,17,4352
6199,1,2,4352
6082,1,16,4352
5486,6,9,4352
4759,1,17,4352
4324,1,17,4352
3952,1,17,4352
3648,1,14,4352
3587,1,2,4352
3277,1,4,4352
3274,1,2,4352
2280,1,3,4352
1410,1,2,4352
202,8,13,4352
396172,1,4,4096
396141,1,1,4096
395896,1,1,4096
395733,1,1,4096
395643,1,1,4096
395516,2,16,4096
395425,1,4,4096
395209,1,1,4096
394841,1,1,4096
394826,1,1,4096
394586,1,1,4096
394533,1,2,4096
394472,1,1,4096
394409,1,2,4096
394225,1,2,4096
394147,1,14,4096
394056,1,1,4096
394021,1,1,4096
394013,1,1,4096
393818,1,2,4096
393724,1,1,4096
393620,1,1,4096
393568,1,7,4096
393474,1,2,4096
393445,1,7,4096
393422,1,1,4096
393408,1,17,4096
393393,1,17,4096
393381,1,17,4096
328285,1,1,4096
328282,1,1,4096
328232,1,1,4096
328178,1,1,4096
328137,1,1,4096
328136,1,1,4096
328106,1,2,4096
328082,1,1,4096
328076,1,1,4096
328068,3,9,4096
328058,1,1,4096
328039,1,1,4096
327996,1,2,4096
327991,1,16,4096
327930,1,1,4096
327771,1,3,4096
327754,1,16,4096
267556,2,10,4096
266518,3,11,4096
266269,4,11,4096
265911,1,27,4096
265889,1,1,4096
265185,2,17,4096
265171,3,19,4096
265053,4,24,4096
264952,2,8,4096
264856,1,4,4096
264767,1,16,4096
264605,1,4,4096
264547,3,19,4096
264543,2,11,4096
264539,3,10,4096
264493,3,23,4096
264491,2,16,4096
264486,2,25,4096
264426,1,15,4096
264381,3,21,4096
264367,2,25,4096
264069,3,7,4096
263920,4,17,4096
263891,2,9,4096
263853,3,24,4096
263762,1,17,4096
263717,1,20,4096
263700,1,4,4096
263687,1,13,4096
263663,1,17,4096
263638,1,6,4096
263636,1,6,4096
263632,1,17,4096
263628,1,28,4096
263627,2,22,4096
263622,1,17,4096
263621,1,2,4096
263613,1,1,4096
263599,1,7,4096
263589,1,29,4096
263587,1,10,4096
263582,1,3,4096
263581,1,19,4096
263578,1,13,4096
263569,2,22,4096
263566,3,18,4096
263548,1,3,4096
263537,1,17,4096
263523,4,10,4096
263522,2,5,4096
263520,3,10,4096
263517,1,9,4096
263508,1,7,4096
263501,1,4,4096
263490,1,4,4096
263467,1,17,4096
263465,1,1,4096
263442,1,24,4096
263441,1,13,4096
263439,2,14,4096
263436,1,17,4096
263390,1,3,4096
263382,1,3,4096
263378,1,17,4096
263362,3,19,4096
263361,2,6,4096
263354,1,16,4096
263345,1,3,4096
263339,1,16,4096
263333,1,17,4096
263320,1,22,4096
263314,2,20,4096
263236,1,2,4096
263232,1,3,4096
263227,1,8,4096
263159,2,20,4096
263084,1,5,4096
263081,3,20,4096
263074,1,3,4096
263071,1,8,4096
263058,3,14,4096
263053,1,28,4096
263049,1,19,4096
263043,2,5,4096
263033,1,16,4096
263024,1,8,4096
262986,1,19,4096
262970,3,24,4096
262961,1,17,4096
262955,2,8,4096
262934,2,14,4096
262909,1,17,4096
262906,3,23,4096
262902,1,16,4096
262893,1,19,4096
262890,1,19,4096
262889,1,6,4096
262887,1,20,4096
262866,1,12,4096
262861,1,2,4096
262855,1,23,4096
262845,1,2,4096
262843,1,23,4096
262841,1,17,4096
262839,3,22,4096
262833,1,4,4096
262830,1,21,4096
262824,1,29,4096
262821,2,26,4096
262809,1,19,4096
262792,1,19,4096
262789,1,24,4096
262779,1,4,4096
262774,1,16,4096
262763,1,4,4096
262762,1,4,4096
262758,1,16,4096
262754,1,2,4096
262749,1,30,4096
262747,1,3,4096
262745,1,6,4096
262741,1,17,4096
262738,1,22,4096
262737,1,13,4096
262736,1,1,4096
262735,1,17,4096
262724,1,10,4096
262723,1,25,4096
262722,1,10,4096
262719,1,17,4096
262714,1,3,4096
262712,1,1,4096
262710,1,2,4096
262708,1,13,4096
262707,1,17,4096
262702,1,17,4096
262697,1,1,4096
262694,1,19,4096
262692,1,13,4096
262690,1,7,4096
262684,1,13,4096
262679,1,4,4096
262678,1,29,4096
262674,1,14,4096
262666,1,3,4096
262662,1,1,4096
262658,1,19,4096
262653,1,4,4096
262642,1,11,4096
262637,1,16,4096
262624,1,17,4096
262611,2,9,4096
262610,1,23,4096
262601,1,15,4096
262592,1,3,4096
262585,1,23,4096
262569,1,10,4096
262560,1,30,4096
262550,1,6,4096
262542,1,30,4096
262523,1,3,4096
262520,1,1,4096
262514,1,6,4096
262507,1,5,4096
262504,1,15,4096
262492,2,15,4096
262484,1,23,4096
262478,1,7,4096
262473,1,1,4096
262466,1,8,4096
262464,1,26,4096
262447,1,16,4096
262419,2,5,4096
262418,1,15,4096
262415,1,4,4096
262396,1,19,4096
262385,1,16,4096
262382,1,10,4096
262380,1,18,4096
262359,1,3,4096
262338,1,12,4096
262329,1,7,4096
262327,1,14,4096
262313,1,11,4096
262310,3,21,4096
262301,2,15,4096
262299,1,1,4096
262298,1,16,4096
262292,1,12,4096
262284,1,29,4096
262283,1,7,4096
262281,1,4,4096
262189,1,6,4096
262187,1,16,4096
262171,1,2,4096
207176,1,13,4096
207169,1,16,4096
207144,1,16,4096
206433,1,1,4096
206209,1,1,4096
205994,1,4,4096
205436,2,1,4096
205422,1,4,4096
205317,4,4,4096
205042,1,1,4096
204284,1,1,4096
204229,1,6,4096
204213,1,15,4096
204168,1,4,4096
204145,1,13,4096
204064,1,4,4096
203994,1,1,4096
203986,1,3,4096
203964,2,3,4096
203940,1,4,4096
203704,1,4,4096
203629,6,10,4096
203231,1,3,4096
203160,1,5,4096
203052,2,3,4096
202993,2,16,4096
202909,1,4,4096
202583,1,3,4096
202089,1,7,4096
202020,1,4,4096
201973,1,1,4096
201730,1,12,4096
201725,2,3,4096
201704,1,3,4096
201596,1,1,4096
201587,2,3,4096
201565,1,8,4096
201218,1,1,4096
201208,1,1,4096
201204,1,1,4096
201142,1,5,4096
201105,2,20,4096
201055,1,2,4096
201004,1,16,4096
200701,1,1,4096
200669,1,1,4096
200611,1,1,4096
200594,2,2,4096
200069,1,4,4096
200066,1,1,4096
200058,1,3,4096
200057,1,6,4096
200036,1,4,4096
199941,2,4,4096
199936,1,1,4096
199542,1,16,4096
199496,1,3,4096
199429,1,7,4096
199416,1,1,4096
199244,3,4,4096
199115,1,1,4096
199095,1,14,4096
199021,1,6,4096
198991,1,1,4096
198721,1,4,4096
198718,1,1,4096
198717,1,1,4096
198715,1,1,4096
198642,1,1,4096
198623,1,2,4096
198616,1,17,4096
198603,1,1,4096
198579,1,1,4096
198500,1,2,4096
198436,1,16,4096
198420,1,2,4096
198411,1,13,4096
198336,1,5,4096
198293,1,1,4096
198271,1,1,4096
198235,1,1,4096
198187,1,5,4096
198172,1,1,4096
198073,1,1,4096
198056,1,20,4096
197985,1,3,4096
197956,1,1,4096
197938,1,5,4096
197883,1,16,4096
197872,1,1,4096
197862,1,3,4096
197846,1,2,4096
197765,1,13,4096
197753,1,1,4096
197752,1,5,4096
197743,1,1,4096
197680,4,16,4096
197664,1,7,4096
197650,1,11,4096
197585,1,2,4096
197529,2,6,4096
197506,1,1,4096
197503,1,4,4096
197486,1,2,4096
197465,1,1,4096
197460,1,19,4096
197443,1,1,4096
197441,1,1,4096
197405,1,3,4096
197400,1,1,4096
197390,1,10,4096
197301,1,1,4096
197252,1,3,4096
197225,1,2,4096
197201,1,1,4096
197129,1,2,4096
197063,1,10,4096
196903,1,16,4096
196890,2,5,4096
196881,1,19,4096
196838,1,16,4096
196786,1,1,4096
196782,1,1,4096
196778,1,6,4096
196747,1,3,4096
196660,1,2,4096
196648,1,17,4096
196635,1,16,4096
137085,1,16,4096
136892,1,1,4096
136439,2,16,4096
135879,1,5,4096
135776,2,16,4096
135772,1,16,4096
135707,3,16,4096
135409,3,9,4096
135319,1,16,4096
135244,1,7,4096
135141,1,1,4096
134913,1,16,4096
134899,1,16,4096
134882,1,4,4096
134783,1,20,4096
134401,2,10,4096
134146,4,18,4096
134128,1,16,4096
134056,1,16,4096
134026,1,16,4096
133919,1,16,4096
133739,1,18,4096
133724,1,16,4096
133680,1,16,4096
133542,1,4,4096
133389,1,5,4096
133293,1,16,4096
133043,1,4,4096
133038,1,17,4096
133012,2,16,4096
132941,1,16,4096
132931,1,16,4096
132890,4,10,4096
132761,2,13,4096
132641,1,10,4096
132528,2,4,4096
132469,1,10,4096
132449,2,9,4096
132298,3,25,4096
132121,1,1,4096
132119,1,1,4096
132068,1,9,4096
131755,4,26,4096
131745,1,16,4096
131583,1,17,4096
131272,1,8,4096
131259,1,16,4096
131149,1,13,4096
64266,1,2,4096
64225,1,10,4096
63873,2,16,4096
63678,3,5,4096
63549,1,8,4096
63400,1,3,4096
63383,1,16,4096
63363,1,6,4096
63353,1,4,4096
63330,1,1,4096
63267,1,2,4096
63178,1,16,4096
63160,1,1,4096
63159,1,1,4096
63157,1,3,4096
63003,1,1,4096
62753,1,1,4096
62682,1,17,4096
62659,1,7,4096
62650,1,6,4096
62577,1,1,4096
62560,1,3,4096
62537,1,3,4096
62522,1,1,4096
62511,1,1,4096
62509,1,1,4096
62453,1,6,4096
62275,2,3,4096
62222,1,4,4096
62106,1,17,4096
62099,1,4,4096
62064,1,3,4096
61982,2,3,4096
61934,2,20,4096
61925,1,1,4096
61910,3,12,4096
61895,1,18,4096
61890,1,21,4096
61884,3,8,4096
61871,2,12,4096
61856,1,12,4096
61812,3,7,4096
61806,3,8,4096
61805,3,24,4096
61702,3,7,4096
61651,1,4,4096
61460,1,2,4096
61369,1,4,4096
61255,1,1,4096
61169,2,4,4096
61109,1,3,4096
60931,1,2,4096
60774,1,1,4096
60409,1,1,4096
60316,1,4,4096
60273,1,16,4096
60258,1,17,4096
60018,2,4,4096
59689,2,3,4096
59659,2,3,4096
59630,1,1,4096
59597,1,3,4096
59515,1,9,4096
59456,1,3,4096
59392,1,3,4096
59210,1,11,4096
59116,1,9,4096
59102,1,4,4096
58929,1,15,4096
58725,3,16,4096
58654,3,7,4096
58594,1,22,4096
58477,1,16,4096
58443,2,17,4096
58310,2,6,4096
58275,1,2,4096
58208,3,5,4096
58121,1,7,4096
58081,2,7,4096
58080,1,2,4096
58054,1,3,4096
58046,1,1,4096
58044,1,1,4096
58010,3,7,4096
57990,1,1,4096
57896,1,5,4096
57882,2,18,4096
57873,2,3,4096
57824,1,1,4096
57764,1,11,4096
57712,1,1,4096
57571,2,14,4096
57496,1,1,4096
57399,1,1,4096
57320,1,1,4096
57300,1,16,4096
57294,1,1,4096
57287,1,4,4096
57279,1,1,4096
57242,1,6,4096
57201,1,1,4096
57188,1,3,4096
57146,2,7,4096
57112,1,2,4096
57079,2,3,4096
57041,1,8,4096
57030,1,3,4096
57014,3,7,4096
56983,1,1,4096
56933,1,4,4096
56924,1,1,4096
56887,1,7,4096
56765,1,6,4096
56761,1,1,4096
56669,1,3,4096
56653,1,1,4096
56547,1,3,4096
56541,1,8,4096
56474,1,13,4096
56463,1,2,4096
56456,1,1,4096
56450,1,1,4096
56443,1,4,4096
56442,1,1,4096
56429,1,1,4096
56396,1,1,4096
56345,1,10,4096
56326,1,2,4096
56242,2,24,4096
56239,1,18,4096
56163,1,3,4096
56150,1,18,4096
56094,1,8,4096
56054,1,12,4096
56039,1,16,4096
56038,6,17,4096
56013,1,16,4096
56012,1,2,4096
55889,1,1,4096
55813,1,1,4096
55679,1,16,4096
55660,1,16,4096
55587,1,2,4096
55535,1,16,4096
55480,1,16,4096
55414,4,16,4096
55361,1,16,4096
55260,1,16,4096
55214,1,10,4096
55164,1,13,4096
55134,1,1,4096
55077,2,3,4096
55073,2,1,4096
55032,1,16,4096
54947,1,15,4096
54932,1,16,4096
54923,1,1,4096
54886,1,4,4096
54809,1,7,4096
54713,1,2,4096
54711,1,1,4096
54677,1,1,4096
54538,1,16,4096
54521,1,1,4096
54512,1,1,4096
54471,1,1,4096
54396,1,2,4096
54359,1,3,4096
54328,1,2,4096
54323,1,8,4096
54282,1,1,4096
54127,1,4,4096
54045,1,11,4096
54040,1,5,4096
53862,1,1,4096
53861,1,10,4096
53834,1,12,4096
53782,1,3,4096
53766,1,16,4096
53741,1,6,4096
53698,4,19,4096
53661,1,16,4096
53638,1,1,4096
53477,1,3,4096
53468,1,12,4096
53405,1,1,4096
53399,1,1,4096
53398,1,2,4096
53369,1,1,4096
53346,1,1,4096
53298,1,2,4096
53245,1,3,4096
53232,1,16,4096
53231,1,7,4096
53223,1,17,4096
53220,1,2,4096
53208,1,17,4096
53205,1,1,4096
53203,1,4,4096
53201,1,20,4096
53197,2,7,4096
53196,1,14,4096
53194,1,30,4096
53182,1,10,4096
53170,1,9,4096
53168,1,3,4096
53165,1,25,4096
53161,1,16,4096
53155,1,3,4096
53154,1,3,4096
53151,1,4,4096
53150,1,1,4096
53148,1,8,4096
53146,1,1,4096
53134,1,3,4096
53127,1,18,4096
53126,1,15,4096
53125,1,7,4096
53123,1,18,4096
53114,1,3,4096
53110,1,13,4096
53104,1,4,4096
53103,1,10,4096
53100,1,3,4096
53098,1,1,4096
53096,1,23,4096
53086,1,12,4096
53084,1,2,4096
53083,1,4,4096
53079,1,4,4096
53077,1,16,4096
53073,1,17,4096
53072,1,19,4096
53071,1,21,4096
53067,1,25,4096
53063,1,1,4096
53060,1,16,4096
53058,1,17,4096
53052,1,16,4096
53051,1,5,4096
53045,1,10,4096
53008,1,20,4096
53003,1,1,4096
52989,1,19,4096
52984,1,6,4096
52982,1,17,4096
52959,1,15,4096
52953,1,3,4096
52944,1,27,4096
52931,1,18,4096
52920,1,7,4096
52908,1,29,4096
52904,1,21,4096
52896,1,13,4096
52890,1,15,4096
52881,1,10,4096
52880,1,3,4096
52861,1,10,4096
52855,1,3,4096
52851,2,19,4096
52828,1,4,4096
52819,1,16,4096
52799,2,22,4096
52793,1,1,4096
52781,1,1,4096
52775,1,1,4096
52764,3,4,4096
52758,1,4,4096
52750,1,7,4096
52744,1,9,4096
52697,1,23,4096
52695,2,9,4096
52692,3,9,4096
52690,1,17,4096
52685,1,26,4096
52669,1,18,4096
52654,1,31,4096
52651,1,24,4096
52626,1,3,4096
52599,1,18,4096
52583,1,30,4096
52567,2,7,4096
52562,1,19,4096
52560,2,14,4096
52559,1,11,4096
52543,1,5,4096
52539,1,10,4096
52537,2,17,4096
52533,1,9,4096
52524,1,3,4096
52492,1,16,4096
52485,1,4,4096
52477,1,18,4096
52473,1,16,4096
52448,1,2,4096
52442,1,2,4096
52438,1,7,4096
52419,1,16,4096
52409,1,16,4096
52402,1,16,4096
52372,1,16,4096
52349,1,10,4096
52346,1,11,4096
52303,1,9,4096
52278,1,1,4096
52175,1,8,4096
52125,1,4,4096
52115,1,1,4096
52056,1,1,4096
52036,1,1,4096
51993,1,14,4096
51968,1,1,4096
51908,1,12,4096
51800,1,2,4096
51788,1,1,4096
51754,1,9,4096
51751,1,1,4096
51695,1,12,4096
51583,1,16,4096
51531,1,3,4096
51427,1,1,4096
51423,1,3,4096
51380,3,7,4096
51263,1,10,4096
51259,1,17,4096
51079,1,1,4096
51012,1,2,4096
50941,1,16,4096
50919,1,4,4096
50794,1,2,4096
50789,1,1,4096
50752,1,3,4096
50751,1,6,4096
50729,1,1,4096
50664,1,17,4096
50621,1,16,4096
50575,1,2,4096
50553,1,3,4096
50538,1,2,4096
50450,1,3,4096
50439,1,2,4096
50437,1,7,4096
50428,1,2,4096
50333,1,1,4096
50240,1,1,4096
50239,1,1,4096
50164,1,5,4096
50086,1,4,4096
49890,1,1,4096
49888,2,2,4096
49767,1,1,4096
49766,1,2,4096
49759,1,3,4096
49680,1,1,4096
49665,2,7,4096
49653,1,2,4096
49650,1,7,4096
49542,2,14,4096
49497,1,1,4096
49465,1,5,4096
49461,1,5,4096
49377,1,14,4096
49322,1,2,4096
49318,1,9,4096
49251,1,1,4096
49214,1,1,4096
49204,4,5,4096
49182,1,8,4096
49172,1,2,4096
49114,1,2,4096
49113,1,3,4096
49014,1,2,4096
48887,1,22,4096
48886,1,7,4096
48871,1,5,4096
48809,1,1,4096
48780,1,10,4096
48768,1,14,4096
48689,1,10,4096
48645,1,10,4096
48597,1,3,4096
48595,1,1,4096
48537,2,3,4096
48506,1,9,4096
48383,1,1,4096
48368,1,1,4096
48305,2,3,4096
48235,1,2,4096
48220,1,2,4096
48218,1,2,4096
48133,1,5,4096
48075,1,16,4096
48052,1,2,4096
47998,1,1,4096
47967,1,5,4096
47917,1,1,4096
47898,1,14,4096
47893,4,7,4096
47868,1,2,4096
47815,1,2,4096
47782,1,19,4096
47588,1,13,4096
47537,1,16,4096
47522,2,5,4096
47351,1,4,4096
47347,1,1,4096
47334,1,1,4096
47330,1,1,4096
47295,1,1,4096
47269,1,5,4096
47245,1,13,4096
47227,2,12,4096
47181,1,2,4096
47175,1,1,4096
47138,2,11,4096
47134,1,8,4096
47050,1,12,4096
47038,1,16,4096
46988,1,1,4096
46986,1,1,4096
46979,1,3,4096
46882,1,1,4096
46764,3,7,4096
46701,1,2,4096
46685,1,9,4096
46621,1,1,4096
46469,1,5,4096
46452,1,16,4096
46392,1,4,4096
46378,1,6,4096
46248,1,2,4096
46181,1,5,4096
46159,1,1,4096
46130,1,1,4096
46110,1,2,4096
46094,1,1,4096
46071,2,16,4096
46012,1,16,4096
45980,1,16,4096
45935,1,9,4096
45922,1,18,4096
45806,1,16,4096
45785,1,16,4096
45742,1,7,4096
45710,1,16,4096
45707,2,16,4096
45701,1,16,4096
45690,1,1,4096
45672,1,1,4096
45630,3,7,4096
45590,1,1,4096
45575,1,17,4096
45542,1,1,4096
45508,1,1,4096
45451,1,1,4096
45269,1,6,4096
44999,1,2,4096
44898,1,11,4096
44881,1,2,4096
44879,1,2,4096
44868,1,1,4096
44819,1,3,4096
44795,1,4,4096
44791,1,5,4096
44696,1,1,4096
44678,2,6,4096
44631,1,1,4096
44619,2,3,4096
44540,1,5,4096
44412,1,1,4096
44407,1,3,4096
44384,1,1,4096
44328,1,4,4096
44206,1,2,4096
44166,1,1,4096
44159,1,1,4096
44123,1,1,4096
44084,1,3,4096
44070,1,2,4096
43970,1,1,4096
43954,1,1,4096
43909,1,1,4096
43908,1,9,4096
43903,1,3,4096
43901,1,4,4096
43761,1,2,4096
43734,1,2,4096
43704,1,2,4096
43510,1,11,4096
43483,1,1,4096
43463,1,7,4096
43453,1,1,4096
43429,1,3,4096
43209,4,19,4096
43128,1,1,4096
43097,6,13,4096
43068,1,1,4096
43066,1,16,4096
43037,2,7,4096
42840,1,2,4096
42839,1,1,4096
42818,1,1,4096
42779,1,13,4096
42777,1,1,4096
42748,1,2,4096
42723,2,3,4096
42622,1,1,4096
42583,1,2,4096
42557,1,7,4096
42530,1,4,4096
42418,1,1,4096
42386,1,4,4096
42364,1,1,4096
42330,1,2,4096
42323,1,3,4096
42317,1,1,4096
42309,1,1,4096
42161,1,3,4096
41985,1,4,4096
41983,1,3,4096
41942,1,7,4096
41878,1,3,4096
41856,1,11,4096
41853,1,4,4096
41841,1,1,4096
41837,2,2,4096
41783,1,5,4096
41696,1,1,4096
41628,1,3,4096
41620,1,4,4096
41507,1,1,4096
41495,2,10,4096
41477,4,9,4096
41419,1,1,4096
41325,1,1,4096
41231,1,14,4096
41207,1,1,4096
41126,1,1,4096
41109,1,1,4096
41090,1,3,4096
41082,2,9,4096
41066,1,5,4096
41018,2,15,4096
41015,1,3,4096
40999,1,3,4096
40944,1,3,4096
40941,1,2,4096
40845,1,17,4096
40812,1,17,4096
40801,1,1,4096
40679,1,1,4096
40621,1,7,4096
40613,1,1,4096
40606,1,1,4096
40567,1,1,4096
40393,5,13,4096
40389,1,1,4096
40351,1,1,4096
40290,1,1,4096
40270,1,9,4096
40229,1,1,4096
40204,1,4,4096
40200,1,2,4096
40197,1,13,4096
40092,1,4,4096
39963,1,11,4096
39962,1,8,4096
39938,1,16,4096
39875,1,1,4096
39804,1,12,4096
39781,3,5,4096
